id,section,stereotype,name,description,ea_type
CAP-1,Capabilities,Capability,Sense,"Bring every observation the sector can obtain into one governed, time-disciplined stream.",Class
CAP-1.1,Capabilities,Capability,Ingest observations from every sensor class,,Class
CAP-1.2,Capabilities,Capability,"Validate, authenticate, and quarantine input",,Class
CAP-1.3,Capabilities,Capability,"Manage sensor readiness, modes, tasking, and calibration",,Class
CAP-1.4,Capabilities,Capability,Know sensor coverage and gaps over terrain,,Class
CAP-1.5,Capabilities,Capability,Keep time discipline,,Class
CAP-1.6,Capabilities,Capability,"Receive early warning, tracks, and reports from peers",,Class
CAP-1.7,Capabilities,Capability,Receive cooperative identity,,Class
CAP-2,Capabilities,Capability,Understand,"Turn observations into one honest picture with identities, uncertainty, and context.",Class
CAP-2.1,Capabilities,Capability,Maintain one multi-sensor track picture with uncertainty,,Class
CAP-2.2,Capabilities,Capability,Keep tracks through gaps with visible quality,,Class
CAP-2.3,Capabilities,Capability,Register sensors against each other,,Class
CAP-2.4,Capabilities,Capability,Track dense groups and count targets,,Class
CAP-2.5,Capabilities,Capability,Maintain a clutter-tolerant surface picture,,Class
CAP-2.6,Capabilities,Capability,Classify and identify with evidence and confidence,,Class
CAP-2.7,Capabilities,Capability,"Keep one identity across gaps, sorties, sessions, and peers",,Class
CAP-2.8,Capabilities,Capability,"Predict trajectory, time to impact, closest approach",,Class
CAP-2.9,Capabilities,Capability,Detect anomalies in tracks and feeds,,Class
CAP-2.10,Capabilities,Capability,"Fuse terrain, imagery, point clouds, and map layers",,Class
CAP-2.11,Capabilities,Capability,Answer geometric questions,,Class
CAP-2.12,Capabilities,Capability,Maintain pattern of life and order of battle,,Class
CAP-3,Capabilities,Capability,Decide,Turn the picture into a policy-checked recommendation for a human.,Class
CAP-3.1,Capabilities,Capability,Maintain the defended-asset list,,Class
CAP-3.2,Capabilities,Capability,Score threat and priority per track,,Class
CAP-3.3,Capabilities,Capability,Recommend the cheapest adequate assignment,,Class
CAP-3.4,Capabilities,Capability,Compute intercept geometry,,Class
CAP-3.5,Capabilities,Capability,"Offer alternatives, what-if, and rationale",,Class
CAP-3.6,Capabilities,Capability,Enforce rules of engagement,,Class
CAP-3.7,Capabilities,Capability,Manage the queue under saturation,,Class
CAP-3.8,Capabilities,Capability,Recommend fires tasks with deconfliction,,Class
CAP-3.9,Capabilities,Capability,Recommend sensor re-tasking under degradation,,Class
CAP-4,Capabilities,Capability,Act (recommend and authorize),"Put the recommendation in front of the person who holds authority, record what they decide, and hand off; never act without that record.",Class
CAP-4.1,Capabilities,Capability,Present recommendations for decision,,Class
CAP-4.2,Capabilities,Capability,Record every decision,,Class
CAP-4.3,Capabilities,Capability,Never execute without a recorded human decision,,Class
CAP-4.4,Capabilities,Capability,Hand off to effector systems with provenance,,Class
CAP-4.5,Capabilities,Capability,Warn assets and authorities,,Class
CAP-4.6,Capabilities,Capability,Track engagements and assess effects,,Class
CAP-4.7,Capabilities,Capability,Assist roles without authority,,Class
CAP-5,Capabilities,Capability,Sustain,"Keep the sector operating, learning, and honest over time and through outages.",Class
CAP-5.1,Capabilities,Capability,Journal every event durably,,Class
CAP-5.2,Capabilities,Capability,Replay and rehearse,,Class
CAP-5.3,Capabilities,Capability,Produce reports and measures from the journal,,Class
CAP-5.4,Capabilities,Capability,Operate disconnected and reconcile,,Class
CAP-5.5,Capabilities,Capability,Report health honestly and run the alert lifecycle,,Class
CAP-5.6,Capabilities,Capability,Manage configuration baselines and mission plans,,Class
CAP-5.7,Capabilities,Capability,Govern algorithm and model baselines,,Class
CAP-5.8,Capabilities,Capability,Support the battle rhythm,,Class
CAP-5.9,Capabilities,Capability,Provide role-based workspaces and workflow,,Class
CAP-5.10,Capabilities,Capability,Meet performance budgets per profile,,Class
CAP-6,Capabilities,Capability,Secure,"Control who can see and do what, and prove it afterwards.",Class
CAP-6.1,Capabilities,Capability,Authenticate operators and callers,,Class
CAP-6.2,Capabilities,Capability,"Authorize by role, class, and layer",,Class
CAP-6.3,Capabilities,Capability,Audit everything that matters,,Class
CAP-6.4,Capabilities,Capability,Protect data in transit and at rest,,Class
CAP-6.5,Capabilities,Capability,Assure the supply chain,,Class
CAP-6.6,Capabilities,Capability,Mark and enforce releasability,,Class
CAP-6.7,Capabilities,Capability,Treat external input as untrusted,,Class
CAP-7,Capabilities,Capability,Integrate,Be one node in a system of systems.,Class
CAP-7.1,Capabilities,Capability,Expose a versioned interface,,Class
CAP-7.2,Capabilities,Capability,Speak the domain's interoperability standards,,Class
CAP-7.3,Capabilities,Capability,"Run as desktop, on-prem node, or cloud node",,Class
CAP-7.4,Capabilities,Capability,Exchange with peers and coalition,,Class
OP-01,Operational Performers,OperationalPerformer,Operator,Runs the live picture for a domain at a site or the sector; decides engagements within delegated authority.,Class
OP-02,Operational Performers,OperationalPerformer,Supervisor,"Runs the sector; manages the recommendation queue, weapons control status, holds, degraded-state acknowledgement, reconciliation conflicts, plan apply.",Class
OP-03,Operational Performers,OperationalPerformer,Analyst,"Works the recorded record; replay, after-action review, reports, measures, model promotion evidence.",Class
OP-04,Operational Performers,OperationalPerformer,Sensor manager,"Owns sensor readiness, modes, coverage, tasking, and calibration.",Class
OP-05,Operational Performers,OperationalPerformer,Administrator,"Owns configuration baselines, accounts and roles, the node, and the audit record.",Class
OP-06,Operational Performers,OperationalPerformer,Intelligence analyst,"Owns requirements and tasking, identification evidence and declarations, order of battle, pattern of life, dissemination.",Class
OP-07,Operational Performers,OperationalPerformer,Planner,"Owns defended-asset list drafts, laydown and coverage planning, mission plans, rehearsal.",Class
OP-08,Operational Performers,OperationalPerformer,Commander,Holds the authorities the others act under; may decide directly.,Class
OP-10,Operational Performers,OperationalPerformer,Sector command post,"The sector's command post; hosts the service node, the supervisor, operators, sensor manager, planner, intelligence analyst (vignettes, SCP).",Class
OP-11,Operational Performers,OperationalPerformer,Site defense cell,"A defended site's cell with a desktop and local sensors and effectors (vignettes, OPS and HAF).",Class
OP-12,Operational Performers,OperationalPerformer,Port defense cell,"The port's cell with a desktop, coastal sensors, patrol craft (vignettes, KAL).",Class
OP-20,Operational Performers,OperationalPerformer,Higher command,"Sets rules of engagement; receives status, warnings, reports, order of battle.",Class
OP-21,Operational Performers,OperationalPerformer,Neighbouring sector,Exchanges tracks and warnings; hands over raids.,Class
OP-22,Operational Performers,OperationalPerformer,Fire units and effector systems,Receive decided assignments; report readiness and outcomes.,Class
OP-23,Operational Performers,OperationalPerformer,Sensor operators and maintainers,"Operate and maintain sensors; modes, faults, calibration.",Class
OP-24,Operational Performers,OperationalPerformer,Civil aviation authority and airport,"Corridors, flight plans, ADS-B; receive warnings of engagements.",Class
OP-25,Operational Performers,OperationalPerformer,Port and maritime authorities,"AIS, harbour operations, barriers; receive warnings.",Class
OP-26,Operational Performers,OperationalPerformer,Coalition partners,Picture and product exchange with releasability.,Class
OP-27,Operational Performers,OperationalPerformer,Accreditors and auditors,Need evidence that the system enforces policy and records decisions.,Class
OP-30,Operational Performers,OperationalPerformer,Command-and-control system (Gungnir),The logical performer that exhibits every system capability; realized by the desktop and the service node.,Class
OP-31,Operational Performers,OperationalPerformer,Operator workstation,The desktop (gungnir-app) with embedded or remote services.,Class
OP-32,Operational Performers,OperationalPerformer,Sector service node,The headless node (gungnir-node) that is the system of record in connected profiles.,Class
OP-33,Operational Performers,OperationalPerformer,Sensor network,"The sensors feeding the sector, logically part of the C2 system's inputs; physical sensors are actual resources.",Class
OP-34,Operational Performers,OperationalPerformer,Effector interface,The handoff boundary to fire units and effector systems (CAP-4.4).,Class
OA-01,Operational Activities,OperationalActivity,Ingest and validate observations,"Bring sensor, cooperative, peer, and human reports in; validate; quarantine; carry provenance.",Activity
OA-02,Operational Activities,OperationalActivity,Maintain the track picture,"Initiate, update, coast, and delete tracks from all sources with uncertainty and quality.",Activity
OA-03,Operational Activities,OperationalActivity,Identify tracks,"Classify and identify from kinematic, signature, cooperative, and human evidence with stated confidence.",Activity
OA-04,Operational Activities,OperationalActivity,Assess threat and priority,"Predict path, asset threatened, time to impact, closest approach; score against the defended-asset list.",Activity
OA-05,Operational Activities,OperationalActivity,Recommend assignments,"Propose the cheapest adequate resource-to-track assignment within readiness, geometry, and policy.",Activity
OA-06,Operational Activities,OperationalActivity,Check policy,"Evaluate identification criteria, weapons control status, authority, geofences, and restrictions; produce a verdict.",Activity
OA-07,Operational Activities,OperationalActivity,Decide,"A human accepts, overrides, rejects, holds, or lets expire; the decision is recorded.",Activity
OA-08,Operational Activities,OperationalActivity,Hand off to effectors,Pass decided assignments to fire units and effector systems with provenance.,Activity
OA-09,Operational Activities,OperationalActivity,Warn assets and authorities,"Warn defended assets, units, and civil authorities with lead time; record the warning.",Activity
OA-10,Operational Activities,OperationalActivity,Assess engagement effects,"Track the engaged threat, record the outcome, supersede plans, re-plan the remainder.",Activity
OA-11,Operational Activities,OperationalActivity,Journal and report,"Journal every event; produce summaries, reports, and measures after action.",Activity
OA-12,Operational Activities,OperationalActivity,Manage sensors and coverage,"Set modes, task sensors, keep calibration, compute coverage and gaps over terrain.",Activity
OA-13,Operational Activities,OperationalActivity,Detect and correlate degradation,"Detect sensor loss, ingest gaps, clock skew, quality collapse; correlate into incidents.",Activity
OA-14,Operational Activities,OperationalActivity,Re-task sensors,Change modes and tasking to restore the most valuable coverage; show before and after.,Activity
OA-15,Operational Activities,OperationalActivity,Exchange the picture with peers,"Send and receive tracks, warnings, and products with peers, higher command, and partners.",Activity
